,vehicle_id,vehicle_eclass,vehicle_fuel,laneID,vehicle_type,vehicle_x,vehicle_y,edgeID,lon,lat,cluster_label
13,commercial_2-1_21,hbefa3/ldv,0.86,153012_1_2,delivery,8607.98,4295.38,153012_1,7.469405337324932,43.75858332395062,1
14,commercial_2-1_218,hbefa3/coach,1.96,153012_1_2,coach,8624.24,4293.98,153012_1,7.469405337324932,43.75858332395062,1
15,commercial_2-1_254,hbefa3/hdv,6.0,152473_1,trailer,7154.8,5212.67,152473,7.450722404282039,43.7664006067216,1
16,commercial_2-1_324,hbefa3/ldv,0.86,152558_6_1,delivery,7195.92,4437.41,152558_6,7.451358150957602,43.75954864684783,1
17,commercial_2-1_378,hbefa3/ldv,0.86,153362_0_2,delivery,7607.4,5007.01,153362_0,7.45642319097824,43.76458319140063,1
18,commercial_2-1_38,hbefa3/ldv,1.11,152558_6_1,delivery,7223.9,4463.12,152558_6,7.451358150957602,43.75954864684783,1
19,commercial_gw2-1_129,hbefa3/ldv,0.0,153012_1_2,delivery,8635.98,4297.18,153012_1,7.469405337324932,43.75858332395062,1
20,commercial_gw2-1_156,hbefa3/ldv,1.12,152558_6_1,delivery,7255.86,4505.8,152558_6,7.451358150957602,43.75954864684783,1
21,pedestrian_1-2_1219_tr,hbefa3/ldv_g_eu6,1.08,153359_1_1,motorcycle,7457.1,4681.13,153359_1,7.454546566149951,43.76178134336546,1
22,pedestrian_1-2_1423_tr,hbefa3/ldv_g_eu6,1.08,152558_6_1,motorcycle,7259.51,4508.01,152558_6,7.451358150957602,43.75954864684783,1
23,pedestrian_1-2_146_tr,hbefa3/ldv_g_eu6,0.69,152558_5_1,moped,7077.47,4328.0,152558_5,7.4494068217116,43.75797561169512,1
24,pedestrian_1-2_1687_tr,hbefa3/ldv_g_eu6,0.53,152558_6_1,motorcycle,7252.93,4504.32,152558_6,7.451358150957602,43.75954864684783,1
25,pedestrian_1-2_2063_tr,hbefa3/ldv_g_eu6,1.08,152558_6_1,moped,7246.94,4497.67,152558_6,7.451358150957602,43.75954864684783,1
26,pedestrian_1-2_2073_tr,hbefa3/ldv_g_eu6,0.7,152558_6_1,motorcycle,7259.51,4508.01,152558_6,7.451358150957602,43.75954864684783,1
27,pedestrian_1-2_2276_tr,hbefa3/ldv_g_eu6,0.7,152558_5_1,motorcycle,7183.79,4437.81,152558_5,7.4494068217116,43.75797561169512,1
28,pedestrian_1-2_2399_tr,hbefa3/ldv_g_eu6,1.08,153359_1_1,motorcycle,7457.1,4681.13,153359_1,7.454546566149951,43.76178134336546,1
29,pedestrian_1-2_2854_tr,hbefa3/ldv_g_eu6,1.08,152558_6_1,motorcycle,7253.06,4504.11,152558_6,7.451358150957602,43.75954864684783,1
30,pedestrian_1-2_2950_tr,hbefa3/ldv_g_eu6,1.08,152558_6_1,moped,7253.15,4504.16,152558_6,7.451358150957602,43.75954864684783,1
31,pedestrian_1-2_3234_tr,hbefa3/ldv_g_eu6,1.08,152558_6_1,motorcycle,7248.83,4499.69,152558_6,7.451358150957602,43.75954864684783,1
32,pedestrian_1-2_3567_tr,hbefa3/ldv_g_eu6,1.08,153485_2_2,moped,7175.11,5148.8,153485_2,7.450933488930565,43.76598182367368,1
33,pedestrian_1-2_3608_tr,hbefa3/ldv_g_eu6,0.0,152558_5_1,moped,7109.54,4363.92,152558_5,7.4494068217116,43.75797561169512,1
34,pedestrian_1-2_3775_tr,hbefa3/ldv_g_eu6,1.08,152558_6_1,motorcycle,7259.51,4508.01,152558_6,7.451358150957602,43.75954864684783,1
35,pedestrian_1-2_3962_tr,hbefa3/ldv_g_eu6,1.08,152558_6_1,moped,7259.59,4508.06,152558_6,7.451358150957602,43.75954864684783,1
36,pedestrian_1-2_4264_tr,hbefa3/ldv_g_eu6,1.08,153485_2_2,motorcycle,7176.31,5141.08,153485_2,7.450933488930565,43.76598182367368,1
37,pedestrian_1-2_459_tr,hbefa3/ldv_g_eu6,0.0,152558_6_1,motorcycle,7260.1,4507.03,152558_6,7.451358150957602,43.75954864684783,1
38,pedestrian_1-2_494_tr,hbefa3/ldv_g_eu6,1.08,152558_6_1,motorcycle,7255.44,4505.55,152558_6,7.451358150957602,43.75954864684783,1
39,pedestrian_1-2_5187_tr,hbefa3/ldv_g_eu6,1.08,152558_6_1,motorcycle,7245.15,4495.77,152558_6,7.451358150957602,43.75954864684783,1
40,pedestrian_1-2_5778_tr,hbefa3/ldv_g_eu6,1.08,153359_0_1,motorcycle,7303.32,4513.12,153359_0,7.452651697792274,43.76026738183603,1
41,pedestrian_1-2_5908_tr,hbefa3/ldv_g_eu6,0.0,153359_0_1,motorcycle,7303.32,4513.12,153359_0,7.452651697792274,43.76026738183603,1
42,pedestrian_1-2_5953_tr,hbefa3/ldv_g_eu6,1.08,152473_1,moped,7156.96,5203.9,152473,7.450722404282039,43.7664006067216,1
43,pedestrian_1-2_702_tr,hbefa3/ldv_g_eu6,0.53,152558_6_1,moped,7249.85,4500.77,152558_6,7.451358150957602,43.75954864684783,1
44,pedestrian_1-2_73_tr,hbefa3/ldv_g_eu6,1.08,152558_6_1,moped,7259.59,4508.06,152558_6,7.451358150957602,43.75954864684783,1
45,pedestrian_1-2_750_tr,hbefa3/ldv_g_eu6,1.08,152558_6_2,moped,7260.71,4505.0,152558_6,7.451330416269894,43.75956915965043,1
46,pedestrian_1-3_1104_tr,hbefa3/pc_g_eu4,1.0,152558_5_1,passenger3,7165.8,4420.7,152558_5,7.4494068217116,43.75797561169512,1
47,pedestrian_1-3_1189_tr,hbefa3/pc_g_eu4,1.09,152558_6_1,passenger3,7235.81,4486.69,152558_6,7.451358150957602,43.75954864684783,1
48,pedestrian_1-3_1282_tr,hbefa3/pc_g_eu4,1.0,152558_5_1,passenger4,7181.76,4435.9,152558_5,7.4494068217116,43.75797561169512,1
